time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T10:03:52.187964\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":301,\"special_gun\":905,\"cost\":0,\"prize\":60000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=290000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T10:19:19.171562\",\"msg\":\"\",\"type\":\"kill\",\"user_id\":1002061070,\"room_id\":1,\"bullet_id\":0,\"fishes\":{\"203\":1,\"204\":1,\"205\":1,\"901\":1},\"drop\":null,\"special_gun_odds\":{},\"odds\":24,\"credit\":7200000,\"after\":863093194683,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=295000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-07T01:51:43.946498\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":205,\"special_gun\":0,\"cost\":2100000,\"prize\":0}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=300000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-07T02:04:42.543285\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":102,\"special_gun\":904,\"cost\":0,\"prize\":9000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=305000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-07T02:23:42.339651\",\"msg\":\"\",\"type\":\"kill\",\"user_id\":1002061070,\"room_id\":1,\"bullet_id\":0,\"fishes\":{\"302\":1},\"drop\":null,\"special_gun_odds\":{},\"odds\":12,\"credit\":36000000,\"after\":888804994683,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=310000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-07T02:30:09.249559\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":203,\"special_gun\":0,\"cost\":390000,\"prize\":210000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=315000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-07T02:35:30.172444\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":303,\"special_gun\":905,\"cost\":0,\"prize\":45000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=320000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-07T02:42:36.186645\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":103,\"special_gun\":0,\"cost\":3000000,\"prize\":0}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=325000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-07T02:49:40.222429\",\"msg\":\"\",\"type\":\"countdown\",\"user_id\":1002059379,\"room_id\":1,\"drop\":\"ID:4  Item:905\",\"special_bullets\":{\"2\":904,\"4\":905},\"special_gun_odds\":{\"2\":257,\"4\":150},\"bulletodds\":{\"2\":93},\"mch\":\"\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=330000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-07T02:57:57.558828\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":303,\"special_gun\":904,\"cost\":0,\"prize\":40500000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=335000)"
